epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.6937,0.59368,0.90164,1,0.26473,0.000542114,0.000542114,0.000542114
2,27.3087,0.35638,0.95902,1,0.17177,0.00107604,0.00107604,0.00107604
3,34.2118,0.43507,0.93443,1,0.18431,0.00158797,0.00158797,0.00158797
4,41.0703,0.34707,0.94262,1,0.12589,0.00156798,0.00156798,0.00156798
5,47.9808,0.33483,0.95082,1,0.13656,0.00153497,0.00153497,0.00153497
6,54.575,0.3691,0.95082,1,0.12885,0.00150197,0.00150197,0.00150197
7,61.4386,0.31496,0.95902,1,0.11141,0.00146896,0.00146896,0.00146896
8,68.4883,0.32588,0.91803,1,0.19847,0.00143595,0.00143595,0.00143595
9,75.0462,0.30478,0.97541,1,0.10097,0.00140295,0.00140295,0.00140295
10,81.9985,0.33288,0.93443,1,0.10812,0.00136994,0.00136994,0.00136994
11,88.9254,0.26187,0.95902,1,0.10932,0.00133693,0.00133693,0.00133693
12,95.9304,0.28799,0.95082,1,0.1149,0.00130393,0.00130393,0.00130393
13,102.695,0.27798,0.94262,1,0.12809,0.00127092,0.00127092,0.00127092
14,109.686,0.26411,0.95902,1,0.1134,0.00123791,0.00123791,0.00123791
15,116.61,0.27905,0.96721,1,0.13818,0.00120491,0.00120491,0.00120491
16,123.534,0.24852,0.95902,1,0.1214,0.0011719,0.0011719,0.0011719
17,130.761,0.20704,0.96721,1,0.13466,0.00113889,0.00113889,0.00113889
18,137.665,0.2555,0.95902,1,0.09711,0.00110589,0.00110589,0.00110589
19,144.683,0.22871,0.97541,1,0.09087,0.00107288,0.00107288,0.00107288
20,151.694,0.22821,0.95082,1,0.10295,0.00103987,0.00103987,0.00103987
21,158.363,0.24137,0.95902,1,0.10061,0.00100687,0.00100687,0.00100687
22,165.665,0.21042,0.95902,1,0.11289,0.000973861,0.000973861,0.000973861
23,172.825,0.22222,0.92623,1,0.16754,0.000940855,0.000940855,0.000940855
24,179.829,0.25899,0.96721,1,0.12901,0.000907848,0.000907848,0.000907848
25,187.016,0.26611,0.95082,1,0.16067,0.000874842,0.000874842,0.000874842
26,194.249,0.25158,0.95902,1,0.11101,0.000841835,0.000841835,0.000841835
27,201.462,0.1896,0.95082,1,0.11427,0.000808828,0.000808828,0.000808828
28,208.63,0.23468,0.94262,1,0.108,0.000775822,0.000775822,0.000775822
29,215.566,0.22592,0.94262,1,0.12741,0.000742815,0.000742815,0.000742815
